District,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
32,5,2018,All Students,893,592,436,48.8,203,22.7,158,17.7,96,10.8,254,28.4
32,5,2019,All Students,853,592,394,46.2,201,23.6,152,17.8,106,12.4,258,30.2
32,6,2013,All Students,1345,286,569,42.3,593,44.1,141,10.5,42,3.1,183,13.6
32,6,2014,All Students,1228,291,471,38.4,472,38.4,195,15.9,90,7.3,285,23.2
32,6,2015,All Students,1124,292,421,37.5,404,35.9,197,17.5,102,9.1,299,26.6
32,6,2016,All Students,1128,289,445,39.5,430,38.1,149,13.2,104,9.2,253,22.4
32,6,2017,All Students,1083,284,504,46.5,360,33.2,139,12.8,80,7.4,219,20.2
32,6,2018,All Students,970,593,400,41.2,282,29.1,196,20.2,92,9.5,288,29.7
32,6,2019,All Students,1030,594,432,41.9,289,28.1,190,18.4,119,11.6,309,30.0
32,7,2013,All Students,1322,285,735,55.6,424,32.1,136,10.3,27,2.0,163,12.3
32,7,2014,All Students,1270,289,627,49.4,452,35.6,165,13.0,26,2.0,191,15.0
