school_dist_code,dbn,school_name,zipcode,Rate
19,19K409,East New York Family Academy,11207,5
4,04M610,Young Women's Leadership School (TYWLS),10029,7
10,10X225,Theater Arts Production Company School (TAPCo),10457,4
12,12X682,Fannie Lou Hamer Freedom High School,10460,2
24,24Q264,Academy of Finance and Enterprise,11101,7
13,13K483,The Urban Assembly School for Law and Justice,11201,5
29,29Q498,Humanities & Arts Magnet High School,11411,2
9,09X413,Bronx High School for Medical Science,10457,5
3,03M402,The Urban Assembly School for Green Careers,10024,2
27,27Q480,John Adams High School,11417,3
2,02M489,High School of Economics and Finance,10006,4
2,02M300,The Urban Assembly School of Design and Construction,10019,3
30,30Q258,Energy Tech High School,11106,4
7,07X221,South Bronx Preparatory: A College Board School,10454,5
22,22K555,Brooklyn College Academy,11218,8
21,21K344,Rachel Carson High School for Coastal Studies,11224,4
2,02M600,The High School of Fashion Industries,10011,5
2,02M519,Talent Unlimited High School,10065,7
2,02M507,Urban Assembly Gateway School for Technology,10019,4
10,10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141) (RKA),10463,5
2,02M400,High School for Environmental Studies,10019,3
8,08X348,Schuylerville Preparatory High School,10461,2
31,31R047,CSI High School for International Studies,10314,8
14,14K586,Lyons Community School,11206,1
13,13K430,Brooklyn Technical High School,11217,10
9,09X297,Morris Academy for Collaborative Studies,10456,2
17,17K745,Brooklyn Institute for Liberal Arts (BILA),11203,3
24,24Q485,Grover Cleveland High School,11385,5
20,20K505,Franklin Delano Roosevelt High School,11204,3
29,29Q248,Queens Preparatory Academy,11413,2
7,07X551,The Urban Assembly Bronx Academy of Letters,10451,2
14,14K610,Automotive High School,11222,2
8,08X405,Herbert H. Lehman High School,10461,2
19,19K422,Spring Creek Community School,11208,3
30,30Q575,Academy of American Studies,11101,6
27,27Q309,Academy of Medical Technology: A College Board School,11691,3
10,10X440,DeWitt Clinton High School,10468,2
27,27Q334,Epic High School - North,11419,2
1,01M450,East Side Community School,10009,6
13,13K527,Urban Assembly Institute of Math and Science for Young Women,11201,3
2,02M316,The Urban Assembly School of Business for Young Women,10004,2
10,10X442,"Celia Cruz Bronx High School of Music, The",10468,5
24,24Q296,Pan American International High School,11373,3
2,02M296,High School of Hospitality Management,10019,2
9,09X517,Frederick Douglass Academy III Secondary School,10456,4
3,03M494,High School of Arts and Technology,10023,2
30,30Q555,Newcomers High School,11101,4
11,11X418,Bronx High School for the Visual Arts,10462,2
29,29Q283,Preparatory Academy for Writers: A College Board School,11413,5
13,13K412,Brooklyn Community Arts & Media High School (BCAM),11205,1
32,32K554,All City Leadership Secondary School,11237,8
7,07X670,Health Opportunities High School,10451,3
2,02M374,Gramercy Arts High School,10003,4
15,15K656,Brooklyn High School of the Arts,11217,4
24,24Q550,High School for Arts and Business,11368,5
23,23K697,Teachers Preparatory High School,11212,3
13,13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",11201,3
2,02M432,Murray Hill Academy,10016,3
2,02M542,Manhattan Bridges High School,10019,5
2,02M288,Food and Finance High School,10019,4
18,18K642,Urban Action Academy,11236,1
3,03M492,"High School for Law, Advocacy and Community Justice",10023,3
8,08X376,Antonia Pantoja Preparatory Academy: A College Board School,10473,3
9,09X329,DreamYard Preparatory School,10457,1
24,24Q600,Queens Technical High School,11101,3
2,02M543,New Design High School,10002,4
18,18K569,Kurt Hahn Expeditionary Learning School,11203,3
